model,scenario,survival_rate_mean,survival_time_mean,gain_mean,efficiency_mean,equality_mean,over_usage_mean,survival_rate_std,survival_time_std,gain_std,efficiency_std,equality_std,over_usage_std,survival_rate_ci,survival_time_ci,gain_ci,efficiency_ci,equality_ci,over_usage_ci
Univ_alt_Phi-4,sheep_v6.4_final,60.0,8.4,75.08,62.567,94.409,27.333,54.772,4.93,44.005,36.671,5.012,33.677,48.01,4.321,38.572,32.143,4.393,29.52
VeilOfIgnorance_DeepSeek-R1-Distill-Llama-8B,fishing_v6.4_final,0.0,2.6,30.44,25.367,76.878,52.0,0.0,0.894,6.576,5.48,12.427,16.432,0.0,0.784,5.764,4.804,10.892,14.403
VeilOfIgnorance_Meta-Llama-3-8B,fishing_v6.4_final,0.0,1.0,20.0,16.667,90.64,100.0,0.0,0.0,0.0,0.0,4.026,0.0,0.0,0.0,0.0,0.0,3.529,0.0
VeilOfIgnorance_Meta-Llama-3-8B,pollution_v6.4_final,0.0,1.2,20.8,17.333,72.267,78.0,0.0,0.447,1.789,1.491,4.485,4.472,0.0,0.392,1.568,1.307,3.931,3.92
VeilOfIgnorance_Meta-Llama-3-8B,sheep_v6.4_final,0.0,1.0,20.0,16.667,89.84,100.0,0.0,0.0,0.0,0.0,5.056,0.0,0.0,0.0,0.0,0.0,4.432,0.0
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,fishing_v6.4_final,0.0,1.0,20.0,16.667,88.48,96.0,0.0,0.0,0.0,0.0,7.592,8.944,0.0,0.0,0.0,0.0,6.654,7.84
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,pollution_v6.4_final,0.0,1.0,20.0,16.667,76.08,84.0,0.0,0.0,0.0,0.0,14.92,16.733,0.0,0.0,0.0,0.0,13.078,14.667
VeilOfIgnorance_Mistral-7B-Instruct-v0.2,sheep_v6.4_final,0.0,1.0,20.0,16.667,87.6,100.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,2.805,0.0
VeilOfIgnorance_Phi-4,fishing_v6.4_final,60.0,9.2,91.28,76.067,97.65,22.4,54.772,3.834,39.333,32.777,3.266,30.803,48.01,3.361,34.477,28.731,2.863,27.0
VeilOfIgnorance_Phi-4,pollution_v6.4_final,20.0,6.2,46.96,39.133,93.364,32.067,44.721,3.834,16.467,13.722,6.205,23.622,39.2,3.361,14.434,12.028,5.439,20.706
VeilOfIgnorance_Phi-4,sheep_v6.4_final,0.0,1.0,20.0,16.667,83.68,84.0,0.0,0.0,0.0,0.0,5.827,16.733,0.0,0.0,0.0,0.0,5.107,14.667
